id;name;promoted
1;grive;false
2;pigeon;false
3;étoile de mer;false
4;rat;false
5;hibou;false
6;pie;false
7;oie;false
8;colombe;false
9;ver de terre;false
10;loutre;false
11;brochet;false
12;baleine;false
13;mouton;false
14;lama;false
15;calamar;false
16;moineau;false
17;abeille;false
18;pieuvre;false
19;chenille;false
20;cafard;false
21;buse;false
22;tourterelle;false
23;perroquet;false
24;guépard;false
25;ver;false
26;lamproie;false
27;coccinelle;false
28;limace;false
29;poisson-chat;false
30;lotte;false
31;tortue terrestre;false
32;orque;false
33;kangourou;false
34;caille;false
35;agneau;false
36;cochon;false
37;renard;false
38;truite;false
39;phoque;false
40;carpe;false
41;poulet;false
42;ver à soie;false
43;maquereau;false
44;brebis;false
45;grue;false
46;jaguar;false
47;hippopotame;false
48;hamster;false
49;salamandre;false
50;veau;false
51;espadon;false
52;taureau;false
53;dindon;false
54;requin;false
55;araignée;false
56;scarabée;false
57;scorpion;false
58;manchot;false
59;écureuil;false
60;puce;false
61;sanglier;false
62;couleuvre;false
63;canard;false
64;cigogne;false
65;souris;false
66;cheval;false
67;iguane;false
68;bœuf;false
69;aigle;false
70;hippocampe;false
71;perdrix;false
72;âne;false
73;truie;false
74;chat;false
75;homard;false
76;ours;false
77;chien;false
78;cochon d'Inde;false
79;morse;false
80;rossignol;false
81;pastenague;false
82;autruche;false
83;méduse;false
84;guêpe;false
85;léopard;false
86;paon;false
87;koala;false
88;faucon;false
89;rouge-gorge;false
90;alligator;false
91;lapin ;false
92;ours polaire;false
93;caméléon;false
94;lion;false
95;belette;false
96;singe;false
97;blaireau;false
98;sauterelle;false
99;vautour;false
100;girafe;false
101;punaise des lits;false
102;mouche;false
103;lamantin;false
104;libellule;false
105;vache;false
106;hérisson;false
107;mille-pattes;false
108;ornithorynque;false
109;cygne;false
110;éléphant;false
111;cerf;false
112;merle;false
113;perche;false
114;tortue;false
115;luciole;false
116;colibri;false
117;corbeau;false
118;morue;false
119;moustique;false
120;grillon;false
121;panthère;false
122;fourmi;false
123;crevette;false
124;poule;false
125;raton laveur;false
126;chimpanzé;false
127;élan;false
128;anguille;false
129;jument;false
130;crocodile;false
131;tigre;false
132;dorade;false
133;bison;false
134;piranah;false
135;papillon;false
136;saumon;false
137;papillon de nuit;false
138;chameau;false
139;thon;false
140;têtard;false
141;lézard;false
142;biche;false
143;triton;false
144;dauphin;false
145;gorille;false
146;panda;false
147;poisson rouge;false
148;hirondelle;false
149;rhinocéros;false
150;furet;false
151;crabe;false
152;grenouille;false
153;hyène;false
154;zèbre;false
155;faisan;false
156;lièvre;false
157;crapaud;false
158;tortue marine;false
159;serpent;false
160;chèvre;false
161;chauve-souris;false
